SquareFeet,Bedrooms,Bathrooms,Garage,Neighborhood,Price
1098,2,3,No,A,194850.40543437187
1419,1,2,Yes,B,223286.957690644
1702,3,3,No,A,269311.558681126
2443,1,3,No,C,327914.2176739699
1587,1,3,Yes,C,222100.18521561683
1628,4,1,Yes,C,236195.90014430147
1462,2,1,No,A,210457.149692874
540,3,2,No,B,126428.50169211435
1486,5,2,Yes,B,241023.51179029606
1530,5,3,No,A,233056.71506718543
2731,1,3,No,A,366035.66469528293
1403,4,3,No,B,243252.20671521715
1650,4,2,No,B,253782.02261901757
1482,5,1,Yes,B,229578.90670079816
915,3,1,Yes,B,175788.39295072554
2071,2,3,Yes,A,294994.0493678027
1875,3,3,No,A,284566.3778421809
1895,2,3,No,C,269909.4791774016
1045,5,3,No,B,218393.13085864167
2201,2,2,No,C,305768.8787568986
799,4,1,No,A,161995.36295435933
1793,1,3,Yes,A,267859.72920431156
2595,1,2,No,C,324308.38058166025
1004,5,3,No,B,184724.99640652974
1216,4,3,Yes,B,215815.50513047475
1549,3,1,No,B,226329.0955418653
1248,4,3,Yes,B,213822.82657722372
724,1,1,Yes,C,146563.12039349403
1534,1,1,Yes,C,217071.3921321063
968,4,1,Yes,A,176435.69073535484
1736,4,2,Yes,B,254329.47441245904
1040,1,2,No,B,181811.23139279525
2274,3,1,Yes,B,306418.75781307917
1108,5,3,Yes,C,215536.59676894292
1338,5,1,No,B,210827.3603336382
1906,4,3,No,C,294640.88460046996
884,5,1,Yes,B,188787.68423766372
1613,1,3,No,B,245720.38397324705
2153,1,2,No,A,276207.1171275571
696,4,3,Yes,B,152577.977157638
1592,4,1,Yes,B,232446.2304440691
1629,4,2,No,A,241256.2278598148
1890,3,3,Yes,C,274289.07374312734
881,5,3,Yes,C,190424.42466367848
839,4,3,No,B,177799.52440749848
1760,2,3,Yes,C,259022.8905638629
1648,2,3,Yes,B,243387.97250199853
1625,1,2,Yes,A,230761.5407283545
1673,5,2,Yes,A,264265.75507529004
1159,4,2,Yes,B,179780.41972500185
1616,2,2,No,A,235486.09591521267
1646,5,1,No,A,249479.87594927326
1142,1,2,Yes,B,191035.83068547293
2432,3,3,No,B,319099.54060716176
1736,5,3,Yes,A,258970.90317546882
904,5,2,Yes,C,185239.54994878132
1828,3,3,Yes,C,249755.47759743084
1012,5,2,Yes,B,203521.89110760787
1893,1,3,Yes,B,267565.9199149281
2079,1,1,No,C,285487.2121284344
1089,3,1,No,A,170029.27623430488
1981,4,2,Yes,C,277736.4053128176
1706,2,2,No,C,220521.31673073114
1911,4,2,Yes,C,267143.10237004724
2448,5,3,No,C,338961.5311927812
1377,2,2,Yes,B,192072.92419991564
1123,3,1,No,B,180353.731878016
1055,3,3,Yes,A,171626.59823139757
1092,2,2,Yes,A,180625.39815088574
1461,1,3,No,A,233571.11927108237
1670,2,3,No,A,247650.20249885877
1638,5,2,Yes,C,269382.073726118
1913,1,3,No,B,275162.9256339461
1506,3,1,Yes,B,236081.4784860697
2226,2,1,No,A,281950.54759121715
1367,4,3,No,A,219808.58371607398
2860,4,2,Yes,C,373456.1341638537
1812,5,3,No,C,261422.9790836714
1071,4,1,No,A,188811.4374976209
964,2,3,Yes,B,174160.8018345307
1741,2,3,No,B,268399.9683754666
1388,4,1,Yes,B,222595.1225407941
1857,2,3,Yes,A,277667.0643034013
1736,5,3,Yes,B,262057.93918604954
1463,1,2,Yes,C,225782.10268761727
1076,5,2,Yes,C,211047.12494364282
742,5,1,No,A,155812.86176619658
1276,2,1,Yes,C,187206.49380633511
1928,1,1,Yes,A,247582.1279876559
1607,2,2,No,B,247090.12992015964
877,3,1,No,B,186543.45742423311
1586,2,1,No,B,215783.5492982478
1692,2,1,Yes,C,225614.7994995744
1058,2,2,Yes,A,189014.1418067448
1576,1,3,Yes,B,226060.86470633355
1529,2,1,No,A,230083.5538422827
928,1,3,Yes,B,173453.46173526646
1678,4,1,No,C,244560.22697502037
1780,3,3,Yes,C,268412.71534521686
2041,1,2,No,A,276901.9836915339
2026,4,2,Yes,C,284803.93502213823
811,1,1,Yes,C,125536.38968361505
1031,1,3,Yes,A,180886.50728589034
1757,3,2,No,B,270430.60366064165
1756,5,1,No,C,241512.31336795478
1757,5,1,Yes,A,248042.14979861054
3426,1,2,Yes,C,415868.2697476601
1785,2,2,Yes,C,252885.9186273228
2067,4,1,No,C,287811.8215958429
1977,2,3,Yes,C,271706.81792172336
1825,2,3,Yes,A,275124.58286592306
1342,1,3,Yes,A,210669.0056569021
1879,1,1,Yes,A,256869.85522343058
1113,1,2,No,C,183502.77410971097
1381,1,1,No,C,201854.9496796099
1257,5,2,Yes,C,220968.3365702813
1540,1,3,Yes,A,231864.8795396695
2657,5,3,No,C,349798.0097190449
566,5,2,No,B,156473.56825715964
1843,1,2,Yes,C,261481.27286248183
693,3,1,No,B,120231.4960864219
1264,4,3,No,C,210857.99715124324
2044,2,1,Yes,A,281823.6046249281
1532,5,1,No,C,216930.71453522166
961,4,1,No,B,182535.66881900743
1142,3,3,Yes,B,198787.7746434575
1839,2,1,Yes,C,264302.8257033399
1134,2,1,No,B,180388.53210924537
1608,5,1,Yes,B,235579.32007004373
1522,1,1,No,A,217280.8566075914
1174,3,1,Yes,C,189096.14510490015
2571,5,1,No,C,330991.4886585932
1816,3,3,Yes,C,289783.43483011384
487,1,1,No,B,100989.01818415686
1593,1,2,No,C,205870.44624940207
1169,5,1,No,C,214716.98968121494
1926,1,1,Yes,A,248764.36527684075
1103,4,3,Yes,A,198332.26739034304
1442,2,3,No,A,221620.93935370966
1752,5,2,No,B,258503.48565841673
1932,3,2,Yes,C,264538.07528736553
899,4,3,Yes,A,170931.82697503036
1332,5,3,Yes,A,229847.59761704566
1262,1,1,Yes,A,184180.12442324366
1173,1,3,Yes,C,200603.62190333946
2382,1,2,Yes,C,312026.94051616156
1702,1,1,No,C,222924.87806474595
869,3,2,Yes,B,166985.21276072357
1958,4,1,No,B,268621.6167587865
2561,2,3,Yes,A,327183.39557366335
2016,3,2,Yes,C,287494.3157051513
740,3,1,No,A,144786.74720691636
1257,2,1,No,C,188624.4997982952
2133,2,3,Yes,C,285744.32763576723
1146,1,3,No,C,180320.6323892666
1721,3,3,No,B,277987.68023914547
1887,5,2,No,B,281041.1864963
1036,2,1,No,C,159688.70962797184
1470,2,3,Yes,A,230878.65898322812
-120,4,2,No,C,82620.16176795537
987,5,2,Yes,C,189375.17612530044
1373,5,2,Yes,A,240040.21342133125
876,2,3,Yes,C,153171.86857930032
2316,1,3,Yes,A,287686.7795261979
784,4,1,No,B,158005.17421853752
1279,5,1,No,B,212664.96143373882
1565,2,3,Yes,A,204104.99821745759
2220,5,2,Yes,B,304764.23908797983
782,4,2,Yes,B,152113.37685616544
2081,4,2,Yes,A,278180.53759296844
1505,3,1,No,B,212389.5823539019
1009,2,2,Yes,C,180857.8780159936
1731,4,1,No,C,239925.94978710293
1599,3,1,Yes,A,222068.77865418157
1199,3,2,Yes,B,182711.9469114232
1534,5,2,Yes,C,255089.09642515826
1307,5,3,Yes,C,231046.32365470636
1556,3,3,No,B,216676.437970971
1831,5,2,No,B,262277.59920776816
2293,4,1,No,C,311585.1788439493
881,1,1,Yes,C,162913.92548982837
2566,4,1,Yes,A,342008.38759366656
523,3,1,No,A,120743.17089742115
1424,3,1,No,C,195086.2313920696
1794,4,3,Yes,A,279102.4899391131
1640,5,2,Yes,C,250031.03148679496
1188,5,3,No,C,215488.6201461507
1395,3,1,Yes,A,209725.79561791502
1253,2,1,Yes,A,178744.70500423733
1205,5,1,No,B,206142.5021222299
1924,4,1,Yes,B,271664.59031113447
1678,5,2,No,B,252542.11157085202
1153,4,1,Yes,C,197011.05799862486
1949,3,2,No,A,260160.00452576694
1653,5,1,Yes,C,244609.9722411689
1906,4,2,No,A,274861.2747293579
1814,3,3,No,C,250050.72367864937
1085,2,1,No,B,174929.03389163947
1219,4,2,No,B,213236.45146681296
1873,2,3,Yes,B,265267.6907595713
1805,2,1,Yes,C,247158.85097485656
1489,1,1,No,A,216523.44039234167
1558,5,1,Yes,A,233921.9989113373
2138,4,2,Yes,B,294822.0260045571
1204,2,2,Yes,B,182632.96485467532
1773,1,3,Yes,B,253150.63222679234
1398,3,2,Yes,B,215451.5151639522
1391,4,2,No,A,228090.89795053322
2049,2,1,No,C,277534.5995418324
1912,5,1,No,C,281112.0903901288
1906,1,1,No,C,247517.39649104868
2152,2,1,Yes,C,260434.18914375885
1510,5,1,Yes,B,240416.39746464774
1840,2,1,No,B,255311.2096409741
1344,4,1,Yes,B,205047.0839531391
1662,4,3,Yes,C,262749.40199567337
1434,4,3,No,B,219914.1019748376
1548,1,3,Yes,B,241102.40212870276
1797,4,3,No,A,267363.7544820595
1090,5,1,No,A,182710.72386995103
2546,2,3,Yes,B,329382.9844376111
996,3,1,Yes,A,169285.1501399979
892,5,3,No,A,185079.87926700537
2079,5,2,No,B,297382.80280399404
1895,4,3,Yes,B,276203.92556041875
1812,1,3,No,B,259202.39573461478
1814,2,1,No,B,248482.79274333434
1493,1,3,No,C,218824.270044256
1051,2,2,Yes,C,171118.09375578735
1537,2,1,No,B,226783.65542894838
1161,1,1,Yes,A,183343.26035997906
1987,5,3,No,B,295271.36355161265
1426,2,1,Yes,B,218841.95465990203
1087,1,1,No,A,151086.72343832365
1339,2,1,Yes,C,195256.05358493296
1706,3,1,Yes,B,231036.82887665357
1218,5,1,Yes,B,226362.7226513785
1088,4,1,No,C,192932.19820395985
1621,2,2,No,C,235309.38016341726
1622,3,3,No,A,256049.90578846156
1246,4,2,Yes,C,219762.75663755115
1264,4,1,No,C,214456.31691524072
1616,2,1,Yes,C,237817.03485100353
775,1,3,No,A,150874.59676717938
796,2,2,Yes,C,148586.34580516047
1140,3,3,Yes,C,190378.10820019315
1393,4,2,Yes,A,228324.47266729007
1655,2,1,No,C,230910.6426467122
2237,1,3,No,C,295515.28969482804
1928,2,3,No,A,269093.38638272195
1420,5,1,Yes,B,238501.9263063469
1490,1,3,Yes,A,234526.8041284167
998,3,2,No,C,197103.93856128165
1490,4,2,No,C,238290.1629989211
1355,2,2,No,C,210069.54440254899
1661,1,2,Yes,A,234845.97549255076
1086,5,1,Yes,C,180396.98452738527
1759,1,3,Yes,C,239285.810082486
2266,5,2,Yes,A,320673.41021892877
1445,3,1,Yes,B,207153.21289516744
1700,4,3,No,B,263114.57753867237
1845,3,3,Yes,C,281654.6668309521
1299,2,1,Yes,A,190245.46066969103
1612,1,1,Yes,C,243304.81634591578
1506,5,2,Yes,A,229693.048790559
1548,5,3,Yes,A,260701.94756489847
1113,1,3,No,B,191547.56181132363
1512,1,1,Yes,B,225140.9524994615
1748,2,3,Yes,A,244638.0238864031
2225,3,2,Yes,C,324570.20916953613
1979,5,3,No,B,292112.2491621709
2576,2,1,No,C,331366.4793929928
1116,3,1,No,B,198044.87488946502
1936,2,2,Yes,B,261553.37932504783
1591,5,2,No,C,256357.2636294718
2594,1,3,Yes,B,327685.3035477851
1095,1,3,Yes,B,199469.61580457838
1080,3,1,No,C,172398.19268771267
1200,4,2,Yes,B,204385.06982495758
438,3,2,Yes,B,125861.2070101196
1237,4,2,Yes,B,215542.99769722615
1120,2,3,No,C,212684.76308426546
1575,2,2,Yes,A,226980.3101038551
1670,5,1,Yes,C,260387.34774273608
2438,4,1,No,A,340502.5844863414
1975,5,3,Yes,B,295157.33360864915
1211,1,3,Yes,A,191598.6724987971
1050,4,2,No,C,171699.66260564709
1745,3,3,Yes,C,279332.75767411065
839,1,1,Yes,B,143455.55670075637
2415,1,2,Yes,A,300486.4150076945
2089,3,1,Yes,B,267316.6991579024
1265,1,2,Yes,B,185467.85809609958
643,4,3,No,C,164497.05293227165
2176,5,2,No,A,317178.6852767474
1442,1,2,No,A,219721.21871455538
2118,4,1,No,A,290123.37827353366
702,2,1,Yes,A,124744.79410498665
1200,4,2,Yes,B,196700.59054097952
1502,5,3,Yes,B,235133.80589318724
1523,4,3,Yes,C,249028.21005526267
1274,3,1,Yes,B,188766.87521138295
1811,5,3,No,B,269957.53888946405
966,2,1,No,C,161765.12757001494
1428,3,3,Yes,C,212101.99846903654
1560,4,2,Yes,C,240467.71430840847
1757,5,1,Yes,B,256628.47118964462
1855,2,1,No,B,264342.0914596169
937,3,2,Yes,C,164501.3445496625
732,2,1,Yes,C,127208.04481687665
2138,4,3,Yes,C,301059.4035040871
1666,2,3,No,B,236619.08706563985
1125,1,1,Yes,B,174891.54591813125
2275,3,3,No,A,294900.65138173394
1557,2,1,No,B,216646.5459662272
2089,4,2,No,B,283616.2833017778
1533,4,1,No,B,235977.57077086068
2530,2,2,No,C,318894.35290374636
2377,4,3,No,B,311339.042414015
1375,5,2,Yes,C,224481.7990306545
1985,5,3,Yes,A,297698.86140274507
1822,5,1,Yes,A,261487.94806739275
2184,1,3,No,C,288286.7722078089
1017,2,1,Yes,C,161984.37899415736
1843,1,1,No,C,247429.48032442035
2029,4,2,No,B,278005.5125076045
620,1,2,No,A,127715.17028589467
908,4,2,Yes,C,182304.46570887373
480,4,2,No,B,118986.76921094354
1365,3,3,No,A,222063.3298025973
1858,5,3,Yes,B,263910.10587202996
2251,4,3,Yes,A,318379.29670009954
1537,3,1,No,B,215911.9078920094
2314,5,3,No,A,337595.9181303079
809,4,3,Yes,A,157130.5269035465
648,4,3,Yes,B,160220.7903680101
1472,1,2,Yes,C,228411.31078526494
1692,1,3,No,A,234893.10598579532
1483,5,1,Yes,C,221681.1507100506
466,4,2,Yes,B,121158.04355623403
1455,2,1,Yes,C,207641.37311595696
847,1,3,No,C,165874.21799189466
1834,5,2,Yes,C,266724.95066112874
1683,4,1,Yes,C,234090.41774793644
1030,4,3,Yes,C,173812.4629341671
1243,2,1,Yes,A,207319.47506512396
970,5,1,Yes,A,195804.95630414647
1468,4,1,No,A,229402.37039488458
1977,1,3,No,B,265596.16305575013
1007,2,3,No,C,189177.02115131647
1752,5,1,Yes,A,266687.0691749307
1234,2,2,No,B,194857.51868587267
1103,1,2,No,A,179713.6854399889
1446,5,3,No,A,252917.6822948949
982,2,3,Yes,C,162795.38642943592
1223,3,3,Yes,B,218284.22823122173
901,1,3,No,C,163008.46188643487
2482,1,3,No,C,313074.2169798895
1517,1,2,Yes,A,210396.9352670566
1150,3,3,Yes,C,192352.7786548091
1606,3,1,No,B,220499.29279898797
1443,4,1,Yes,C,239013.88974389015
1389,2,2,No,C,217812.02938501
1807,4,1,Yes,C,268344.8275360857
1878,2,2,No,A,267423.6829161668
1234,3,2,No,B,203012.27608470173
1212,3,1,Yes,A,193947.55323365633
1362,4,3,No,A,223224.87361090138
349,5,1,No,A,113742.1762355983
742,4,1,No,A,137118.96626187107
2183,2,2,Yes,A,303118.2615104026
2322,4,1,Yes,B,291067.66713996953
1375,1,2,Yes,C,195913.894094708
1788,2,3,No,A,279920.3413096061
1655,2,3,Yes,A,247861.72883064827
3039,5,3,No,B,401677.10445030197
2059,3,1,No,B,284273.3854776773
1436,2,2,Yes,C,202196.62506878603
1022,3,3,Yes,B,174262.06633529978
696,4,2,No,C,149151.05653451153
1601,1,2,No,A,220066.3904245231
1121,5,3,Yes,A,207350.44034990598
788,3,3,Yes,C,169655.49295302137
1176,2,2,Yes,B,205491.63047870595
959,3,3,No,C,190010.8833978959
2343,2,2,No,B,298357.23288311047
1940,3,2,No,A,269250.35922052205
1496,2,3,No,B,224130.54828750386
2239,4,1,No,C,290734.3912098765
1538,2,3,Yes,C,222358.2488732217
1069,2,1,Yes,A,190543.1238772454
2261,1,2,No,B,295206.4224323265
1769,2,2,No,B,248657.69793395253
981,1,1,Yes,B,164942.575665943
1404,5,2,Yes,A,234737.46103741572
1062,1,1,Yes,B,179388.2565370642
808,4,1,Yes,C,150363.38386633235
1963,1,2,No,B,269327.2221687282
2454,5,1,Yes,A,318288.26023649174
800,4,3,No,B,169098.4205626127
1781,3,3,Yes,B,264667.4256716205
1174,3,2,Yes,C,197944.83995719062
1256,1,2,Yes,B,195703.2110584719
1203,1,1,No,C,190318.3098254492
1068,5,1,No,C,182830.11609024229
1524,5,1,Yes,A,236216.7427290347
1084,2,1,No,C,167810.951604796
1635,5,3,No,C,288707.5256588588
1474,2,3,Yes,A,219271.3568223637
1380,4,2,Yes,C,214993.47345655446
1046,1,1,No,A,175426.4807701312
1211,4,1,No,B,193805.3485649884
1877,5,2,No,A,285530.46127701027
1750,4,1,Yes,C,253530.22593725886
1011,4,1,Yes,A,174068.1073344621
1549,4,1,No,C,224372.44650875224
1875,5,1,Yes,B,261611.63438363126
665,4,1,Yes,A,139576.78997487258
1771,2,2,No,B,249356.03681655202
1168,5,1,No,C,190481.18756576127
1785,4,2,Yes,C,261407.67569813455
1118,5,1,Yes,B,182858.84707331992
597,3,3,No,A,153259.01216596353
686,2,3,Yes,A,159073.62399459965
1524,4,3,Yes,C,236356.74809791468
1629,3,3,No,B,241298.2694488478
1047,3,2,No,B,185479.16807009873
1819,5,2,Yes,A,283553.6609303157
669,3,1,Yes,A,153766.63664253172
1466,2,3,Yes,A,213572.57276763732
894,2,2,No,B,173463.04829651525
1174,1,1,Yes,A,178784.46662064805
1523,2,1,Yes,A,218878.10299539464
1069,3,2,No,C,190947.1236565056
1307,2,3,No,A,206890.42529583885
2003,5,1,Yes,A,293267.00632108306
1211,1,3,No,B,211339.62271769808
1917,3,3,No,B,292312.84277535236
935,1,3,Yes,C,151060.8521173472
1764,3,1,No,A,246103.4273127157
2220,5,3,No,C,298647.6941519224
264,1,1,Yes,B,80747.19938056658
1101,4,3,No,C,177125.01128870342
1788,3,1,Yes,B,255302.66634639486
1398,4,3,Yes,C,232993.09635580174
1685,1,2,No,C,233173.98893443233
1198,4,3,No,A,202888.51889449699
1543,4,3,No,C,248440.3162435367
1422,1,1,Yes,A,194085.77928628903
2083,5,1,No,A,279505.3788523267
1627,4,3,Yes,A,241675.8379806529
1668,4,2,No,A,248761.5906926135
1294,5,2,No,C,212576.92430467237
1256,4,1,No,B,198757.6198153633
1283,4,2,Yes,B,217518.08740018733
1697,4,3,No,B,270332.966048595
1289,2,1,No,C,210404.80784895885
1644,5,3,Yes,A,261001.36977968292
2537,4,1,Yes,B,334175.8910256277
1935,5,1,No,C,277388.4635713091
1336,3,1,No,A,188858.14301186096
2100,3,1,No,B,278303.02944028913
1295,4,2,Yes,A,209849.01777259336
480,5,3,Yes,B,138891.8717423039
995,5,3,Yes,B,195090.60671381163
564,5,3,Yes,B,150205.19446785672
1324,2,1,No,A,189536.73236074942
1509,3,2,Yes,C,228389.74046152947
2338,5,3,Yes,A,323409.4960291497
1663,5,2,Yes,B,229107.57273083107
1390,2,1,No,A,192029.31079689536
1914,2,3,No,C,273289.14325813076
394,5,2,Yes,A,139318.9131415411
1617,1,1,Yes,C,199427.96742321734
1885,5,2,No,C,268796.0836624634
760,5,3,No,A,176314.53833994758
2071,2,3,No,B,296881.95463753166
1669,2,1,No,C,229698.86438423983
1292,5,1,No,A,204372.17641578932
1816,5,1,No,C,275797.10749890195
2635,5,2,No,B,360460.9270599857
1590,2,2,No,A,241586.18398076016
1624,5,2,Yes,A,246719.35997509255
1270,5,1,Yes,A,220136.94237683679
1075,4,3,Yes,B,179049.3126713629
1915,1,3,Yes,C,278812.30091659015
1071,3,2,Yes,A,185434.6784655811
1535,1,2,Yes,C,223789.34191247815
1261,4,3,No,C,207647.47341922522
1739,3,3,No,B,241759.73651891848
1666,5,2,Yes,A,256677.04147791732
2018,4,2,Yes,C,291313.94549591397
1244,5,3,No,A,227426.92384818764
1365,2,1,No,A,209447.78595824586
1010,4,2,No,B,188681.61695053458
1277,2,3,Yes,A,199462.1356380704
1688,4,3,No,A,267474.76072520035
1878,4,3,Yes,C,268443.77652524674
1038,2,3,Yes,B,195870.64236065134
1934,3,1,No,A,264560.1813119383
2177,1,3,No,C,293192.90780134517
1706,5,2,Yes,B,268259.26618305105
2438,4,1,No,B,330814.6862553414
1113,5,3,No,C,215006.38678950138
877,2,1,Yes,C,146495.4215044433
610,5,2,No,C,157626.6955043855
2248,2,3,Yes,C,297652.1039002955
1827,5,2,Yes,C,279579.0140172766
1472,1,3,No,A,208948.36803937735
1639,1,3,Yes,A,238963.19938061637
937,1,3,Yes,B,161491.0886049433
2722,1,3,No,A,356899.3565244803
1564,1,3,No,A,243551.66774089015
1554,1,1,No,A,219389.96513791932
1862,2,3,Yes,C,268861.09143937886
1740,4,3,Yes,B,272041.7712248114
1611,5,1,No,B,254311.14879949117
1104,1,1,Yes,B,172773.1117466216
1735,2,1,No,B,235503.2467505202
2441,2,1,No,A,317572.6748644049
2172,2,1,Yes,A,265612.7262890633
2296,4,1,No,C,315696.51539558824
1244,5,3,Yes,B,213298.13050558287
1005,4,3,Yes,A,189097.72133727552
1437,3,2,No,A,231860.5132311831
1527,2,3,Yes,C,229544.9048361031
2047,3,3,No,C,297174.08878574806
653,1,1,Yes,C,138689.08754074413
2264,1,1,Yes,A,289500.33090047503
1420,4,3,Yes,A,236114.48155824712
1286,5,2,No,C,216405.6412605628
993,3,1,Yes,B,172455.9799706372
672,5,3,No,C,152035.95220049968
1911,4,3,Yes,C,279162.61913441925
1536,1,2,Yes,C,209717.9439301748
855,5,2,No,C,165512.32775472602
852,5,1,No,A,147170.50979327838
1332,1,2,No,B,204839.28153504888
2334,3,3,No,C,336316.02165377414
1370,1,3,No,B,208438.9426485943
748,5,2,Yes,B,173451.3359057238
1377,3,2,Yes,B,227956.92816016916
1363,3,2,No,C,203308.6276565173
151,1,2,Yes,A,74262.06082309179
1472,5,1,Yes,C,239107.98088352208
1384,4,2,Yes,B,221476.58637008147
1848,5,1,No,B,253892.11133849408
2424,2,3,Yes,A,317031.40413071396
2063,4,2,Yes,C,294496.60244812066
1365,3,1,Yes,B,200560.63325895165
946,4,2,No,A,150854.63134565606
2786,3,3,Yes,B,361379.86822792166
1529,3,3,Yes,A,236490.06806144805
1506,4,3,No,A,241692.26434144328
1487,3,2,No,C,240288.8337328953
1599,3,2,Yes,B,239435.22797899044
1427,2,1,Yes,C,212129.37354425708
1213,5,3,No,B,227855.3697364942
1226,5,2,No,C,211703.4401583576
1483,2,3,No,B,250665.20745290103
1228,4,3,No,C,201162.91706021
1143,1,1,No,A,166958.52286892157
1553,1,1,No,B,223439.58408270814
1372,1,1,No,B,211743.1353293864
2251,2,1,Yes,A,290092.05003131373
174,2,3,No,C,88293.78829210595
2045,3,1,No,B,294109.89585225354
2123,1,1,Yes,B,266376.3110519569
463,4,1,No,C,126690.54451132979
1328,4,1,No,A,222941.51811347785
1314,1,3,Yes,C,202983.94776578978
796,1,1,No,C,135378.72162743285
1111,1,3,Yes,C,181563.12257970337
944,2,2,Yes,B,177415.51256574766
2376,2,3,Yes,A,329201.4770520266
1967,2,3,Yes,A,278037.2539176213
2135,5,1,No,C,314330.82253069733
1860,4,2,Yes,B,270319.6655927013
935,4,2,Yes,C,190423.33214168166
1237,3,2,No,B,198379.9839574906
1744,2,2,Yes,B,271737.56533705565
888,5,3,Yes,B,200501.31415579712
1856,5,2,Yes,B,273320.25364471483
1379,4,3,Yes,A,243245.40208717002
1312,2,3,No,B,226039.8049117202
1855,3,3,Yes,B,287030.4107629265
1722,2,2,No,C,221380.13664279695
1319,1,1,No,C,201093.51449290835
2079,2,1,Yes,A,280322.9876930574
959,1,2,Yes,C,169610.73280943453
1807,1,1,Yes,B,244883.46433397898
1796,3,1,Yes,C,254078.11279514525
1345,4,3,No,A,238331.4030529808
1663,2,3,No,C,252694.73373693373
874,1,2,No,C,158569.06443732363
1962,2,2,Yes,A,281593.8101483562
1407,4,1,No,A,221880.26178411872
1238,4,3,Yes,B,219935.6842735338
